Field1;photoID;photoTitle;photoUrl;photoAccur;photoTags;photoTagsC;photoComme;photoDateP;photoDateT;photoDescr;photoNotes;photoNot_1;photoMedia;photoMed_1;photoLicen;photoIsFam;photoIsFri;photoIsPri;photoLongi;photoLatit;userID;userName;userRealNa;userPhotoC;userPhotoF;userPhot_1;userLocati;userBuddyI;userIsPro;userIsAdmi;userContac;userPhotoS
16;7591488962;That's Berlin!;http://www.flickr.com/photos/nobbiusa/7591488962/;16;Brandenburger Tor - Brandenburg Gate - Quadriga - Berlin - Nacht - night - Lichter - lights - Nachtaufnahme - Langzeitbelichtung - long exposure - Deutschland - Germany - Canon - Canon EOS 550D - EOS 550D - 550D - EOS Digital Rebel T2i - Weitwinkel - wid;27;47;17 Jul 2012 17:40:01 GMT;15 Jul 2012 22:06:30 GMT;"<a href=""http://de.wikipedia.org/wiki/Brandenburger_Tor"" rel=""nofollow"">Brandenburger Tor</a> bei Nacht.
===
<a href=""http://en.wikipedia.org/wiki/Brandenburg_Gate"" rel=""nofollow"">Brandenburg Gate</a> at night.
===
<b>Press &quot;L&quot; for a better vie";;0;NA;NA;0;FALSE;FALSE;NA;13,37771;52,516193;14786764@N04;Tobias Neubert Photography;;566;10 Oct 2007 22:52:32 GMT;31 Dec 1996 23:00:00 GMT;;http://farm4.static.flickr.com/3043/buddyicons/14786764@N04.jpg;TRUE;FALSE;95;3
17;7584727090;Brandenburger Tor;http://www.flickr.com/photos/25767209@N02/7584727090/;16;Berlin - Germany - Deutschland - city - urban - Brandenburger Tor - Brandenburg Gate - sight - landmark - sunlight - rain - entrance - gate - Nikon - d90 - travel - Europe - Pariser Platz - square - Mitte -;20;33;16 Jul 2012 18:56:09 GMT;7 Jul 2012 17:14:53 GMT;"What better way to start the Berlin set than with he city's most iconic landmark - the Brandenburg Gate on Pariser Platz...

As you can see the weather was far from good even though it was July! It rained a lot but we were also lucky to have at least som";;0;NA;NA;0;FALSE;FALSE;NA;13,378751;52,516075;25767209@N02;marin.tomic;marin tomic;997;17 Apr 2008 23:26:13 GMT;2 Sep 2006 07:16:22 GMT;;http://farm4.static.flickr.com/3045/buddyicons/25767209@N02.jpg;TRUE;FALSE;443;51
18;7489801864;BMW Shuttle Service - Berlin;http://www.flickr.com/photos/levinet/7489801864/;16;Berlin - car - auto - BMW - Shuttle service - night - nacht - urban - rich - Brandenburg - Brandenburger Tor - Brandenburger Gate -;12;0;2 Jul 2012 21:08:19 GMT;30 Jun 2012 23:43:15 GMT;"&quot;Die BMW Group bietet in der Regel Studenten die M?Âglichkeit, als VIP Fahrer (Shuttle Service) in Teilzeitbesch?ñftigung zu arbeite

Die Voraussetzungen fuer diese T?ñtigkeit sind

- Mindestalter 21 Jahre
- Student (aber nicht kurz vor Diplom)
- Wo";;0;NA;NA;5;FALSE;FALSE;NA;13,379631;52,516376;33893683@N04;levinet;Levente;41;10 Jan 2009 10:15:16 GMT;10 Jan 2009 06:37:27 GMT;;http://farm8.static.flickr.com/7035/buddyicons/33893683@N04.jpg;FALSE;FALSE;2;3
19;7411682640;Quadriga, Brandenburger Tor;http://www.flickr.com/photos/erikpronske/7411682640/;16;Germany - Berlin - Quadriga - Brandenburg - Brandenburger Tor - Brandenburg Gate - night - dusk - historic - statue - chariot - Roman - Prussian -;13;2;21 Jun 2012 02:35:49 GMT;17 May 2012 19:30:44 GMT;The statue above the the Brandenburg Gate at dusk;;0;NA;NA;0;FALSE;FALSE;NA;13,377732;52,516296;26266059@N06;Erik Pronske;Erik Pronske, M.D.;1703;11 May 2008 05:46:23 GMT;16 Nov 2003 11:03:04 GMT;Austin, USA;http://farm4.static.flickr.com/3080/buddyicons/26266059@N06.jpg;TRUE;FALSE;130;29
20;7821046046;Brandenburg Gate at night Berlin;http://www.flickr.com/photos/xfotokex/7821046046/;16;Berlin - Brandenburg Gate - night - Brandenburger Tor -;4;0;20 Aug 2012 04:40:27 GMT;22 Jul 2012 20:12:21 GMT;;;0;NA;NA;0;FALSE;FALSE;NA;13,378987;52,516167;84365353@N08;xfoTOkex;Thomas Keuschnigg;38;7 Aug 2012 11:18:10 GMT;15 Jul 2011 13:20:30 GMT;Berlin, Germany;http://farm8.static.flickr.com/7124/buddyicons/84365353@N08.jpg;FALSE;FALSE;1;5
21;7804282480;Golden rays through the Brandenburger Gate;http://www.flickr.com/photos/drsammylee/7804282480/;16;2012 - Architecture - Berlin - Brandenburg Gate - Brandenburger Tor - Canon EF-S 10-22mm f/3.5-4.5 USM - Canon EOS 7D - Germany - Sunset -;9;1;17 Aug 2012 21:31:04 GMT;26 Jul 2012 08:34:25 GMT;Sunset at the Brandenburger Gate in Berlin.;;0;NA;NA;0;FALSE;FALSE;NA;13,377968;52,516365;32820143@N05;Dr. Sammy Lee;Sammy Lee;909;7 Dec 2008 02:09:12 GMT;6 Dec 2008 11:30:51 GMT;Frankfurt am Main, Germany;http://farm3.static.flickr.com/2578/buddyicons/32820143@N05.jpg;TRUE;FALSE;55;49
22;7787968680;Brandenburger Tor;http://www.flickr.com/photos/didiridi/7787968680/;16;Berlin - Brandenburger Tor - Brama Brandenburska - Brandenburger Gate -;4;0;15 Aug 2012 12:52:14 GMT;11 Aug 2012 17:57:53 GMT;Berlin;;0;NA;NA;0;FALSE;FALSE;NA;13,377774;52,516285;21208424@N00;didiridi;;1399;15 Dec 2006 22:56:45 GMT;8 Nov 2003 12:14:41 GMT;Warsaw, Poland;http://farm2.static.flickr.com/1156/buddyicons/21208424@N00.jpg;TRUE;FALSE;27;52
23;7787824222;Brandenburger Tor;http://www.flickr.com/photos/didiridi/7787824222/;16;Berlin - Brandenburger Tor - Brama Brandenburska - Brandenburger Gate -;4;0;15 Aug 2012 12:25:08 GMT;11 Aug 2012 18:01:25 GMT;Berlin;;0;NA;NA;0;FALSE;FALSE;NA;13,37771;52,51635;21208424@N00;didiridi;;1399;15 Dec 2006 22:56:45 GMT;8 Nov 2003 12:14:41 GMT;Warsaw, Poland;http://farm2.static.flickr.com/1156/buddyicons/21208424@N00.jpg;TRUE;FALSE;27;52
24;7787811892;Brandenburger Tor;http://www.flickr.com/photos/didiridi/7787811892/;16;Berlin - Brandenburger Tor - Brama Brandenburska - Brandenburg Gate -;4;0;15 Aug 2012 12:25:09 GMT;11 Aug 2012 17:14:20 GMT;Berlin;;0;NA;NA;0;FALSE;FALSE;NA;13,377817;52,516285;21208424@N00;didiridi;;1399;15 Dec 2006 22:56:45 GMT;8 Nov 2003 12:14:41 GMT;Warsaw, Poland;http://farm2.static.flickr.com/1156/buddyicons/21208424@N00.jpg;TRUE;FALSE;27;52
25;7752279552;Brandenburger Tor;http://www.flickr.com/photos/bertilsi/7752279552/;16;Berlin - Brandenburger Tor -;2;0;10 Aug 2012 11:54:56 GMT;12 Aug 2010 09:01:09 GMT;;;0;NA;NA;0;FALSE;FALSE;NA;13,379888;52,516376;47749152@N00;bertilsi;;224;7 Sep 2005 21:23:17 GMT;1 Nov 2003 20:19:05 GMT;Denmark;http://farm1.static.flickr.com/27/buddyicons/47749152@N00.jpg;TRUE;FALSE;10;13
26;7752273958;Brandenburger Tor;http://www.flickr.com/photos/bertilsi/7752273958/;16;Berlin - Brandenburger Tor -;2;0;10 Aug 2012 11:54:56 GMT;12 Aug 2010 09:02:41 GMT;;;0;NA;NA;0;FALSE;FALSE;NA;13,378858;52,516273;47749152@N00;bertilsi;;224;7 Sep 2005 21:23:17 GMT;1 Nov 2003 20:19:05 GMT;Denmark;http://farm1.static.flickr.com/27/buddyicons/47749152@N00.jpg;TRUE;FALSE;10;13
27;7744279072;Brandenburg Gate;http://www.flickr.com/photos/hsdjie/7744279072/;16;berlin - brandenburg gate - brandenburger tor - pariser platz -;4;0;9 Aug 2012 03:50:08 GMT;15 May 2012 11:44:38 GMT;"Brandenburg Gate (Brandenburger Tor)
Berlin
Germany";;0;NA;NA;0;FALSE;FALSE;NA;13,377356;52,51632;33945396@N03;Harlani Salim;Harlani Salim;4001;3 Oct 2011 06:37:44 GMT;26 Jun 2008 13:00:56 GMT;Perth, Australia;http://farm8.static.flickr.com/7249/buddyicons/33945396@N03.jpg;TRUE;FALSE;15;90
28;7744281396;Brandenburg Gate;http://www.flickr.com/photos/hsdjie/7744281396/;16;berlin - brandenburg gate - brandenburger tor - pariser platz -;4;0;9 Aug 2012 03:50:43 GMT;15 May 2012 11:52:38 GMT;"Brandenburg Gate (Brandenburger Tor)
Berlin
Germany";;0;NA;NA;0;FALSE;FALSE;NA;13,377946;52,516376;33945396@N03;Harlani Salim;Harlani Salim;4001;3 Oct 2011 06:37:44 GMT;26 Jun 2008 13:00:56 GMT;Perth, Australia;http://farm8.static.flickr.com/7249/buddyicons/33945396@N03.jpg;TRUE;FALSE;15;90
29;7744278068;Brandenburg Gate;http://www.flickr.com/photos/hsdjie/7744278068/;16;berlin - brandenburg gate - brandenburger tor - pariser platz -;4;0;9 Aug 2012 03:49:52 GMT;15 May 2012 11:51:07 GMT;"Brandenburg Gate (Brandenburger Tor)
Berlin
Germany";;0;NA;NA;0;FALSE;FALSE;NA;13,377946;52,516376;33945396@N03;Harlani Salim;Harlani Salim;4001;3 Oct 2011 06:37:44 GMT;26 Jun 2008 13:00:56 GMT;Perth, Australia;http://farm8.static.flickr.com/7249/buddyicons/33945396@N03.jpg;TRUE;FALSE;15;90
30;7744276244;Brandenburg Gate;http://www.flickr.com/photos/hsdjie/7744276244/;16;berlin - brandenburg gate - brandenburger tor - pariser platz -;4;0;9 Aug 2012 03:49:23 GMT;15 May 2012 11:49:05 GMT;"Brandenburg Gate (Brandenburger Tor)
Berlin
Germany";;0;NA;NA;0;FALSE;FALSE;NA;13,377356;52,51632;33945396@N03;Harlani Salim;Harlani Salim;4001;3 Oct 2011 06:37:44 GMT;26 Jun 2008 13:00:56 GMT;Perth, Australia;http://farm8.static.flickr.com/7249/buddyicons/33945396@N03.jpg;TRUE;FALSE;15;90
31;7744277094;Brandenburg Gate;http://www.flickr.com/photos/hsdjie/7744277094/;16;berlin - brandenburg gate - brandenburger tor - pariser platz -;4;0;9 Aug 2012 03:49:36 GMT;15 May 2012 11:49:37 GMT;"Brandenburg Gate (Brandenburger Tor)
Berlin
Germany";;0;NA;NA;0;FALSE;FALSE;NA;13,377356;52,51632;33945396@N03;Harlani Salim;Harlani Salim;4001;3 Oct 2011 06:37:44 GMT;26 Jun 2008 13:00:56 GMT;Perth, Australia;http://farm8.static.flickr.com/7249/buddyicons/33945396@N03.jpg;TRUE;FALSE;15;90
32;7726095170;Berlin;http://www.flickr.com/photos/danielehlert/7726095170/;16;Berlin - Brandenburgertor - Friedrichstr - HDR -;4;0;6 Aug 2012 15:54:38 GMT;7 Sep 2011 13:15:04 GMT;Berlin versucht mit HDR zu spielen;;0;NA;NA;5;FALSE;FALSE;NA;13,38853;52,513237;64283528@N03;danielehlert;Daniel Ehlert;31;4 Jul 2012 01:18:10 GMT;27 Nov 2010 17:20:39 GMT;;http://farm9.static.flickr.com/8016/buddyicons/64283528@N03.jpg;FALSE;FALSE;0;9
33;7692625208;Expedition Michael Kessler;http://www.flickr.com/photos/torsten_goltz/7692625208/;16;1Ds MarkIII - 24-70mm F2.8 - Abschluss - Berlin - Brandenburger Tor - Canon EOS 1Ds Mark III - Capital City - Deutschland - Expedition - Germany - Hauptstadt - Michael Kessler - Orte - Places - Potsdamer Platz - RBB - Radio Berlin Brandenburg - Kesslers;18;0;1 Aug 2012 18:10:43 GMT;1 Aug 2012 12:33:29 GMT;"Abschluss seiner Expedition &quot;Kesslers Expedition-mit dem Klapprad von Kopenhagen nach Berlin&quot; am Brandenburger Tor.";;0;NA;NA;0;FALSE;FALSE;NA;13,377825;52,516266;60122937@N00;TAOGde;Torsten Goltz;3007;28 Dec 2007 12:04:14 GMT;27 Oct 2003 11:28:30 GMT;Berlin, Deutschland;http://farm1.static.flickr.com/194/buddyicons/60122937@N00.jpg;TRUE;FALSE;54;107
34;7692636440;Expedition Michael Kessler;http://www.flickr.com/photos/torsten_goltz/7692636440/;16;1Ds MarkIII - 24-70mm F2.8 - Abschluss - Berlin - Brandenburger Tor - Canon EOS 1Ds Mark III - Capital City - Deutschland - Expedition - Germany - Hauptstadt - Michael Kessler - Orte - Places - Potsdamer Platz - RBB - Radio Berlin Brandenburg - Kesslers;18;0;1 Aug 2012 18:12:39 GMT;1 Aug 2012 12:39:08 GMT;"Abschluss seiner Expedition &quot;Kesslers Expedition-mit dem Klapprad von Kopenhagen nach Berlin&quot; am Brandenburger Tor.";;0;NA;NA;0;FALSE;FALSE;NA;13,377825;52,516266;60122937@N00;TAOGde;Torsten Goltz;3007;28 Dec 2007 12:04:14 GMT;27 Oct 2003 11:28:30 GMT;Berlin, Deutschland;http://farm1.static.flickr.com/194/buddyicons/60122937@N00.jpg;TRUE;FALSE;54;107
35;7692622972;Expedition Michael Kessler;http://www.flickr.com/photos/torsten_goltz/7692622972/;16;1Ds MarkIII - 24-70mm F2.8 - Abschluss - Berlin - Brandenburger Tor - Canon EOS 1Ds Mark III - Capital City - Deutschland - Expedition - Germany - Hauptstadt - Michael Kessler - Orte - Places - Potsdamer Platz - RBB - Radio Berlin Brandenburg - Kesslers;18;0;1 Aug 2012 18:10:21 GMT;1 Aug 2012 12:33:27 GMT;"Abschluss seiner Expedition &quot;Kesslers Expedition-mit dem Klapprad von Kopenhagen nach Berlin&quot; am Brandenburger Tor.";;0;NA;NA;0;FALSE;FALSE;NA;13,377825;52,516266;60122937@N00;TAOGde;Torsten Goltz;3007;28 Dec 2007 12:04:14 GMT;27 Oct 2003 11:28:30 GMT;Berlin, Deutschland;http://farm1.static.flickr.com/194/buddyicons/60122937@N00.jpg;TRUE;FALSE;54;107
36;7692630700;Expedition Michael Kessler;http://www.flickr.com/photos/torsten_goltz/7692630700/;16;1Ds MarkIII - 24-70mm F2.8 - Abschluss - Berlin - Brandenburger Tor - Canon EOS 1Ds Mark III - Capital City - Deutschland - Expedition - Germany - Hauptstadt - Michael Kessler - Orte - Places - Potsdamer Platz - RBB - Radio Berlin Brandenburg - Kesslers;18;0;1 Aug 2012 18:11:41 GMT;1 Aug 2012 12:34:39 GMT;"Abschluss seiner Expedition &quot;Kesslers Expedition-mit dem Klapprad von Kopenhagen nach Berlin&quot; am Brandenburger Tor.";;0;NA;NA;0;FALSE;FALSE;NA;13,377825;52,516266;60122937@N00;TAOGde;Torsten Goltz;3007;28 Dec 2007 12:04:14 GMT;27 Oct 2003 11:28:30 GMT;Berlin, Deutschland;http://farm1.static.flickr.com/194/buddyicons/60122937@N00.jpg;TRUE;FALSE;54;107
37;7658738364;Brandenburger Tor;http://www.flickr.com/photos/mrichter1975/7658738364/;16;berlin - germany - brandenburger tor - brandenburg - gate -;5;0;27 Jul 2012 22:21:55 GMT;27 Jul 2012 16:17:29 GMT;;;0;NA;NA;0;FALSE;FALSE;NA;13,376986;52,51663;69233586@N07;markus.richter;Markus Richter;423;30 Oct 2011 20:16:31 GMT;2 Jan 2011 02:26:19 GMT;Berlin, Deutschland;http://farm6.static.flickr.com/5191/buddyicons/69233586@N07.jpg;TRUE;FALSE;4;10
38;7609730098;Brandenburger tor;http://www.flickr.com/photos/dahlshund/7609730098/;16;Brandenburger tor - Berlin - Germany - Pentax K5 -;4;0;20 Jul 2012 14:56:19 GMT;15 Jul 2012 11:51:30 GMT;Brandenburger tor in Berlin;;0;NA;NA;0;FALSE;FALSE;NA;13,377721;52,51621;9770777@N07;Frank Tommeraas;Frank T?©mmer?Ñs;268;6 Jul 2007 22:15:21 GMT;29 Jul 2005 09:18:46 GMT;TRONDHEIM, Norway;http://farm5.static.flickr.com/4142/buddyicons/9770777@N07.jpg;TRUE;FALSE;9;15
39;7585066414;Berliner Verkehrsbetriebe;http://www.flickr.com/photos/thomasbrauner/7585066414/;16;Canon Powershot S95 - Berlin - Deutschland - DE - Berliner Verkehrsbetriebe?? - BVG - Brandenburger Tor - vergilbt - Sonne - Hitze - Plakat -;11;0;16 Jul 2012 19:41:42 GMT;16 Jul 2012 17:29:45 GMT;;;0;NA;NA;1;FALSE;FALSE;NA;13,419383;52,524536;10131865@N02;Songkran;;3550;16 Jul 2007 15:10:42 GMT;9 Jul 1988 22:00:00 GMT;;http://farm2.static.flickr.com/1139/buddyicons/10131865@N02.jpg;TRUE;FALSE;28;62
